ID_Mestre,SMILES,4EY7_Eficacia,5W8K_Risco_ML,Indice_Seletividade,Fitness_Score,Origem_Historica
MOL_H_00091,CCc1c(C2CCC(C)C2C(N)=O)nc(C2CCC(C)C2C(N)=O)c(F)c1C,-7.762,-5.044352000000002,2.717647999999998,-4.230953599999999,Gen 141 (Human)
MOL_H_00092,CCC1C(C)CCC1c1nc(C(N)=O)c(F)c(C(N)=O)c1C,-7.388,-4.510845000000001,2.8771549999999992,-4.230408499999999,Gen 128 (Human)
MOL_H_00093,CCc1c(C)c(C(N)=O)nc(C2CCC(C)C2C(N)=O)c1F,-7.273,-4.349425000000001,2.9235749999999987,-4.2284025,Gen 126 (Human)
MOL_H_00094,COc1c(F)c(C2CCC(C)C2C(N)=O)nc(C)c1C(=O)CC(C)C,-7.753,-5.037560000000002,2.7154399999999983,-4.226707999999999,Gen 27 (Human)
MOL_H_00095,Cc1c(F)c(C2C(C)CCC2C(N)=O)nc(C2CCC(C)C2C(N)=O)c1C(C)C,-7.913,-5.2687560000000015,2.6442439999999987,-4.2248708,Gen 132 (Human)
MOL_H_00096,Cc1c(F)c(C(N)=O)nc(C(N)=O)c1C1C(C)CCC1C(F)(F)F,-7.467,-4.644036000000001,2.822963999999999,-4.216174799999999,Gen 129 (Human)
MOL_H_00097,Cc1nc(C2C(C)CCC2C(N)=O)c(C)c(C2C(C)CCC2C(N)=O)c1F,-7.665,-4.927405000000001,2.737594999999999,-4.215816499999999,Gen 176 (Human)
MOL_H_00098,CCCc1c(C(N)=O)nc(C2C(C)CCC2C(N)=O)c(F)c1C(F)(F)F,-7.623,-4.870587000000001,2.752412999999999,-4.2135891,Gen 114 (Human)
MOL_H_00099,Cc1nc(C(=O)CC(C)C)c(F)c(C(F)(F)F)c1C1CCC(C)C1C(N)=O,-8.058,-5.4947620000000015,2.5632379999999984,-4.211666599999999,Gen 22 (Human)
MOL_H_00100,CCc1nc(C2C(C)CCC2C(N)=O)c(F)c(C(N)=O)c1C(F)(F)F,-7.502,-4.705998,2.796002,-4.207801399999999,Gen 101 (Human)
MOL_H_00101,CCc1nc(C(N)=O)c(F)c(C(F)(F)F)c1C1C(C)CCC1C(N)=O,-7.498,-4.705998000000001,2.792001999999999,-4.2038014,Gen 97 (Human)
MOL_H_00102,CC(C)c1c(C(N)=O)nc(C2C(C)CCC2C(N)=O)c(F)c1C(F)(F)F,-7.651,-4.930402000000001,2.720597999999999,-4.199718599999999,Gen 116 (Human)
MOL_H_00103,Cc1nc(C(N)=O)c(F)c(C2CCC(C)C2C(N)=O)c1C(F)(F)F,-7.408,-4.589051000000001,2.818948999999999,-4.1956643,Gen 102 (Human)
MOL_H_00104,Cc1c(C2CCC(C)C2C(N)=O)nc(C(C)C)c(Cl)c1C1C(C)CCC1C(N)=O,-8.019,-5.481671000000002,2.537328999999998,-4.181830299999999,Gen 181 (Human)
MOL_H_00105,CC(C)Cc1nc(C(N)=O)c(F)c(C(F)(F)F)c1C1CCC(C)C1C(N)=O,-7.667,-4.9847410000000005,2.682259,-4.1776813,Gen 106 (Human)
MOL_H_00106,Cc1c(-c2nc(C(F)(F)F)c(F)c(C(F)(F)F)c2C)nc(C(N)=O)c(F)c1C,-8.362,-5.989172000000001,2.372828,-4.1695796,Gen 155 (Human)
MOL_H_00107,Cc1c(F)c(C(F)(F)F)nc(C(N)=O)c1C1C(C)CCC1C(N)=O,-7.378,-4.589051000000001,2.788948999999999,-4.1656643,Gen 129 (Human)
MOL_H_00108,Cc1nc(C(N)=O)c(F)c(C2C(C)CCC2C(F)(F)F)c1C(N)=O,-7.415,-4.644036000000001,2.770964,-4.1641748,Gen 102 (Human)
MOL_H_00109,Cc1c(C2CCC(C)C2C(N)=O)nc(C(C)C)c(F)c1C1C(C)CCC1C(N)=O,-7.848,-5.2687560000000015,2.5792439999999983,-4.159870799999998,Gen 183 (Human)
MOL_H_00110,CCCc1c(C(N)=O)nc(C(N)=O)c(F)c1C(F)(F)F,-7.082,-4.175660000000001,2.90634,-4.159038,Gen 108 (Human)
MOL_H_00111,CCc1nc(C2C(C)CCC2C(N)=O)c(F)c(C(F)(F)F)c1C(N)=O,-7.452,-4.705998,2.746002,-4.1578014,Gen 101 (Human)
MOL_H_00112,CCc1c(C2CCC(C)C2C(N)=O)nc(C2C(C)CCC2C(N)=O)c(F)c1C,-7.687,-5.044352000000002,2.6426479999999986,-4.155953599999999,Gen 129 (Human)
MOL_H_00113,Cc1c(C(N)=O)nc(C(F)(F)F)c(F)c1C1C(C)CCC1C(N)=O,-7.367,-4.589051000000001,2.7779489999999987,-4.154664299999999,Gen 111 (Human)
MOL_H_00114,CCCc1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(F)c1C(F)(F)F,-7.564,-4.870587000000001,2.6934129999999987,-4.154589099999999,Gen 111 (Human)
MOL_H_00115,Cc1nc(C(N)=O)c(F)c(C(F)(F)F)c1-c1nc(C(F)(F)F)c(F)c(C)c1C,-8.34,-5.989172,2.350828,-4.1475796,Gen 135 (Human)
MOL_H_00116,Cc1c(F)c(C(N)=O)nc(C2CCC(C)C2C(N)=O)c1C(C)C(C)C,-7.544,-4.852572000000001,2.6914279999999984,-4.147199599999999,Gen 129 (Human)
MOL_H_00117,Cc1nc(-c2nc(C(N)=O)c(Cl)c(C)c2C)c(F)c(C(F)(F)F)c1C(F)(F)F,-8.5,-6.202087000000001,2.2979129999999994,-4.144973822154999,Gen 135 (Human)
MOL_H_00118,CC(C)c1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(Cl)c1C(F)(F)F,-7.745,-5.1433170000000015,2.601682999999998,-4.144678099999999,Gen 112 (Human)
MOL_H_00119,CCCc1c(C2CCC(C)C2C(N)=O)nc(C2C(C)CCC2C(N)=O)c(F)c1C,-7.79,-5.208941000000002,2.581058999999998,-4.143741299999999,Gen 129 (Human)
MOL_H_00120,Cc1c(C2C(C)CCC2C(N)=O)nc(C(N)=O)c(F)c1CC(C)C,-7.382,-4.628168000000001,2.7538319999999983,-4.142282399999999,Gen 176 (Human)
MOL_H_00121,CCCc1nc(C2C(C)CCC2C(N)=O)c(F)c(C(F)(F)F)c1C(N)=O,-7.551,-4.870587000000001,2.680412999999999,-4.141589099999999,Gen 104 (Human)
MOL_H_00122,CCc1nc(C2C(C)CCC2C(N)=O)c(Cl)c(C(F)(F)F)c1C(N)=O,-7.582,-4.918913000000001,2.663086999999999,-4.138760899999999,Gen 104 (Human)
MOL_H_00123,Cc1c(C(N)=O)nc(C2CCC(C)C2C(N)=O)c(F)c1C,-7.096,-4.232478,2.863522,-4.1332654,Gen 138 (Human)
MOL_H_00124,Cc1c(C(C)C)nc(C2C(C)CCC2C(N)=O)c(F)c1C(N)=O,-7.33,-4.573829000000001,2.756171,-4.1283197,Gen 154 (Human)
MOL_H_00125,Cc1nc(C(F)(F)F)c(C(F)(F)F)c(C(N)=O)c1C(N)=O,-7.138,-4.302033000000001,2.8359669999999992,-4.1265769,Gen 98 (Human)
MOL_H_00126,CC(C)c1nc(C(N)=O)c(F)c(C(F)(F)F)c1C1C(C)CCC1C(N)=O,-7.577,-4.930402000000001,2.646597999999999,-4.125718599999999,Gen 99 (Human)
MOL_H_00127,Cc1nc(-c2nc(C3CCC(C)C3C(F)(F)F)c(C)c(C)c2F)c(C)c(C(N)=O)c1F,-8.862,-6.382511000000002,2.4794889999999983,-4.123935474394996,Gen 163 (Human)
MOL_H_00128,CCc1c(F)c(C(N)=O)nc(C2CCC(C)C2C(N)=O)c1CC(C)C,-7.441,-4.745115000000001,2.6958849999999988,-4.119419499999999,Gen 129 (Human)
MOL_H_00129,CCc1c(C(F)(F)F)nc(C2CCC(C)C2C(N)=O)c(F)c1C(N)=O,-7.413,-4.705998000000001,2.7070019999999992,-4.1188014,Gen 112 (Human)
MOL_H_00130,CCc1nc(-c2nc(C3CCC(C)C3C(N)=O)c(F)c(C)c2C)c(F)c(C)c1C,-8.38,-6.087900000000001,2.2921,-4.11847,Gen 133 (Human)
MOL_H_00131,Cc1c(-c2nc(C(F)(F)F)c(C)c(C(F)(F)F)c2F)nc(C(N)=O)c(F)c1C,-8.303,-5.989172,2.313828000000001,-4.110579600000001,Gen 137 (Human)
