ID_Mestre,SMILES,1EVE_Eficacia,5W8K_Risco,Indice_Seletividade,Origem_Historica
MOL_00547,CC1CCC(c2cnccc2CF)C1C(=O)CC(F)(F)F,-7.908,-6.008,1.9,Fase 1_Lote Inicial
MOL_00548,O=C(O)C1C(F)CCC1c1cnccc1C1CC1,-7.908,-6.178,1.73,Fase 2_Seletividade
MOL_00549,CCc1ccncc1C1CCC(C)C1C(C)=O,-7.908,-6.214,1.694,Fase 2_Seletividade
MOL_00550,O=C(O)C(=O)C1C(O)CCC1c1cnccc1CF,-7.907,-6.479,1.428,Fase 2_Seletividade
MOL_00551,CCc1ccncc1C1CCC(C)C1C(=O)O,-7.907,-6.531,1.376,Fase 2_Seletividade
MOL_00552,CNC(=O)C1C(C#N)CCC1c1cnccc1C(F)F,-7.906,-6.892,1.014,Fase 2_Seletividade
MOL_00553,CC=CC(=O)C1C(F)CCC1c1cnccc1C1CO1,-7.904,-5.909,1.995,Fase 1_Lote Inicial
MOL_00554,O=Cc1ccncc1C1CCC(O)C1C(=O)C1CCC1,-7.903,-5.826,2.077,Fase 2_Seletividade
MOL_00555,CCCCC(=O)C1C(C)CCC1c1cnccc1C1CO1,-7.903,-5.967,1.936,Fase 1_Lote Inicial
MOL_00556,CCC(=O)C1C(F)CCC1c1cnccc1C=O,-7.902,-6.109,1.793,Fase 1_Lote Inicial
MOL_00557,CCc1ccncc1C1CCC(C)C1C(=O)C=O,-7.901,-5.586,2.315,Fase 2_Seletividade
MOL_00558,N#CC1CCC(c2cnccc2Br)C1C(=O)C1CC1,-7.9,-6.265,1.635,Fase 2_Seletividade
MOL_00559,Cc1ccncc1C1CCC(O)C1C(=O)C=O,-7.899,-6.086,1.813,Fase 2_Seletividade
MOL_00560,O=C(C1CC1)C1C(O)CCC1c1cnccc1CF,-7.899,-6.533,1.366,Fase 2_Seletividade
